Algorithm,Heuristic,Problem,Nodes explored,Arcs Revised
Backtracking,None,10Queens, 975, 0
Forward Checking, Smallest Domain, 10Queens, 292, 517
Forward Checking, Name, 10Queens, 150, 215
Forward Checking, Random, 10Queens, 12, 40
Forward Checking, MaxDegree, 10Queens, 12, 40
Maintaining Arc Consistency, Smallest Domain, 10Queens, 54, 315
Maintaining Arc Consistency, Name, 10Queens, 36, 176
Maintaining Arc Consistency, Random, 10Queens, 10, 41
Maintaining Arc Consistency, MaxDegree, 10Queens, 10, 41
Backtracking,None,4Queens, 26, 0
Forward Checking, Smallest Domain, 4Queens, 10, 14
Forward Checking, Name, 4Queens, 12, 14
Forward Checking, Random, 4Queens, 6, 6
Forward Checking, MaxDegree, 4Queens, 6, 6
Maintaining Arc Consistency, Smallest Domain, 4Queens, 6, 13
Maintaining Arc Consistency, Name, 4Queens, 6, 13
Maintaining Arc Consistency, Random, 4Queens, 4, 6
Maintaining Arc Consistency, MaxDegree, 4Queens, 4, 6
Backtracking,None,6Queens, 171, 0
Forward Checking, Smallest Domain, 6Queens, 56, 89
Forward Checking, Name, 6Queens, 46, 64
Forward Checking, Random, 6Queens, 14, 24
Forward Checking, MaxDegree, 6Queens, 14, 24
Maintaining Arc Consistency, Smallest Domain, 6Queens, 22, 98
Maintaining Arc Consistency, Name, 6Queens, 12, 51
Maintaining Arc Consistency, Random, 6Queens, 8, 24
Maintaining Arc Consistency, MaxDegree, 6Queens, 8, 24
Backtracking,None,8Queens, 876, 0
Forward Checking, Smallest Domain, 8Queens, 66, 111
Forward Checking, Name, 8Queens, 152, 214
Forward Checking, Random, 8Queens, 16, 32
Forward Checking, MaxDegree, 8Queens, 16, 32
Maintaining Arc Consistency, Smallest Domain, 8Queens, 30, 151
Maintaining Arc Consistency, Name, 8Queens, 28, 149
Maintaining Arc Consistency, Random, 8Queens, 10, 27
Maintaining Arc Consistency, MaxDegree, 8Queens, 10, 27
Backtracking,None,SimonisSudoku, 313746, 0
Forward Checking, Smallest Domain, SimonisSudoku, 121, 405
Forward Checking, Name, SimonisSudoku, 357, 863
Forward Checking, Random, SimonisSudoku, 1447565, 2499395
Forward Checking, MaxDegree, SimonisSudoku, 1447565, 2499395
Maintaining Arc Consistency, Smallest Domain, SimonisSudoku, 81, 376
Maintaining Arc Consistency, Name, SimonisSudoku, 83, 561
Maintaining Arc Consistency, Random, SimonisSudoku, 83, 723
Maintaining Arc Consistency, MaxDegree, SimonisSudoku, 83, 723
Backtracking,None,langfords2_3, 81, 0
Forward Checking, Smallest Domain, langfords2_3, 22, 36
Forward Checking, Name, langfords2_3, 18, 34
Forward Checking, Random, langfords2_3, 26, 29
Forward Checking, MaxDegree, langfords2_3, 26, 29
Maintaining Arc Consistency, Smallest Domain, langfords2_3, 8, 22
Maintaining Arc Consistency, Name, langfords2_3, 8, 22
Maintaining Arc Consistency, Random, langfords2_3, 8, 18
Maintaining Arc Consistency, MaxDegree, langfords2_3, 8, 18
Backtracking,None,langfords2_4, 380, 0
Forward Checking, Smallest Domain, langfords2_4, 30, 75
Forward Checking, Name, langfords2_4, 56, 115
Forward Checking, Random, langfords2_4, 52, 102
Forward Checking, MaxDegree, langfords2_4, 52, 102
Maintaining Arc Consistency, Smallest Domain, langfords2_4, 10, 47
Maintaining Arc Consistency, Name, langfords2_4, 12, 53
